id_local;id_osm;code_com;coordonneesxy;capacite;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;source;date_maj
node/7908137488;node/7908137488;42218;[4.400426499999999,45.44599260041955];6;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;16/08/2021
node/7925479494;node/7925479494;42218;[4.380300599999999,45.435396400420856];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/09/2020
node/7925479886;node/7925479886;42218;[4.382292499999999,45.444305900419764];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/09/2020
node/8008078264;node/8008078264;42218;[4.3909465,45.43678130042068];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/10/2020
node/8008109696;node/8008109696;42218;[4.3849596,45.4398959004203];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/10/2020
node/8008111812;node/8008111812;42218;[4.3915653,45.435901800420794];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/10/2020
node/8008115769;node/8008115769;42218;[4.3841806,45.43961720042034];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/10/2020
node/8018749586;node/8018749586;42218;[4.3885676,45.434527900420974];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;18/10/2020
node/8100188201;node/8100188201;42218;[4.4208248,45.444623100419726];5;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;10/11/2020
node/8121368593;node/8121368593;42218;[4.3901766,45.45373380041861];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/11/2020
node/8358824395;node/8358824395;42218;[4.3918445,45.44955230041912];10;;AUTRE;LIBRE ACCES;false;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;24/01/2021
node/8358824398;node/8358824398;42218;[4.3859984,45.449335100419155];10;;AUTRE;LIBRE ACCES;false;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;02/05/2021
node/8377714259;node/8377714259;42218;[4.3982598,45.4102909004239];10;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;false;false;OpenStreetMap;30/01/2021
node/8419929171;node/8419929171;42218;[4.395488,45.45926150041793];10;;AUTRE;LIBRE ACCES;false;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;13/02/2021
node/8419994336;node/8419994336;42218;[4.3875487,45.46167240041762];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;13/02/2021
node/8439363640;node/8439363640;42218;[4.3895569,45.44568980041959];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/03/2021
node/8503885756;node/8503885756;42218;[4.3939212,45.41535130042328];10;;AUTRE;PRIVE;false;CONSIGNE COLLECTIVE FERMEE;true;false;OpenStreetMap;10/03/2021
node/8544887317;node/8544887317;42186;[4.606452499999999,45.524176300409785];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;false;false;OpenStreetMap;22/12/2021
node/8712953516;node/8712953516;42218;[4.375521,45.43552390042084];14;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;08/05/2021
node/8808495383;node/8808495383;42218;[4.3966719,45.449130100419175];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8808495384;node/8808495384;42218;[4.3964439,45.44910180041918];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8808495385;node/8808495385;42218;[4.3959554,45.44903320041918];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8808495386;node/8808495386;42218;[4.3956365,45.44897010041918];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8808495387;node/8808495387;42218;[4.3953942,45.44894670041919];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8808495388;node/8808495388;42218;[4.3950948,45.448901600419205];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/8867753470;node/8867753470;42218;[4.386132299999999,45.43817870042051];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/06/2021
node/8948904125;node/8948904125;42210;[4.6468332,45.47925100041544];5;ROUE;RATELIER;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/07/2021
node/8953999813;node/8953999813;42275;[4.3739823,45.469972000416604];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/07/2021
node/8954006618;node/8954006618;42275;[4.3734559,45.469424600416666];;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/07/2021
way/119185929;way/119185929;42207;[4.517454850001493,45.47273410042643];;;AUTRE;PRIVE;true;AUTRE;true;false;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011;09/08/2017
way/154275599;way/154275599;42005;[4.2715731286314735,45.530353323920075];;;AUTRE;LIBRE ACCES;true;AUTRE;true;false;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012;03/11/2012
way/240485175;way/240485175;42218;[4.394744699999906,45.430269000425085];18;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;13/01/2018
way/240485177;way/240485177;42218;[4.394741216849538,45.430181350499325];;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;13/01/2018
way/630873064;way/630873064;42005;[4.278103269859801,45.52509621950184];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;false;false;OpenStreetMap;05/10/2018
way/87560140;way/87560140;42095;[4.285814000001559,45.3915420004351];24;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;21/08/2021
way/988585115;way/988585115;42207;[4.48966905000091,45.4598998504222];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/10/2021
