id_local;id_osm;code_com;coordonneesxy;capacite;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;source;date_maj
node/4348360989;node/4348360989;42218;[4.387366899999999,45.44518530041965];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/4348701208;node/4348701208;42218;[4.3868711,45.44623170041952];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/4360447779;node/4360447779;42320;[4.493295299999999,45.52126820041015];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;21/08/2016
node/4362352573;node/4362352573;42218;[4.393579299999999,45.41745930042303];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/08/2016
node/4362352574;node/4362352574;42218;[4.393914599999999,45.41470480042337];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;10/05/2020
node/4362355893;node/4362355893;42218;[4.3922345,45.42346050042231];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/08/2016
node/4470990514;node/4470990514;42218;[4.3865053,45.44608220041955];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;30/10/2016
node/4674499153;node/4674499153;42218;[4.392326399999999,45.426753200421906];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/06/2021
node/4674499154;node/4674499154;42218;[4.392307,45.424859800422134];4;;AUTRE;PRIVE;true;AUTRE;false;false;OpenStreetMap;08/02/2017
node/4767822230;node/4767822230;42218;[4.3887277,45.44992940041908];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;31/03/2017
node/4883606865;node/4883606865;42005;[4.2722628,45.526631600409466];5;ROUE;RATELIER;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;29/05/2017
node/5244656777;node/5244656777;42218;[4.391522,45.446267200419534];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;23/11/2017
node/5336695835;node/5336695835;42218;[4.3931979,45.42956340042156];6;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;13/01/2018
node/5984977760;node/5984977760;42097;[4.317157599999999,45.497817700413115];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;false;false;OpenStreetMap;15/10/2018
node/6029352296;node/6029352296;42218;[4.3906076,45.43197450042127];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/03/2020
node/6038987986;node/6038987986;42207;[4.516761899999999,45.47199630041635];14;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;05/11/2018
node/6147520628;node/6147520628;42218;[4.3818858,45.44473540041971];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/09/2020
node/6518995575;node/6518995575;42218;[4.383539,45.452992100418705];3;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/02/2020
node/6518995576;node/6518995576;42218;[4.3877231,45.449945100419086];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;04/03/2020
node/6525540418;node/6525540418;42218;[4.381417999999999,45.45925170041793];6;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;05/06/2019
node/6550574967;node/6550574967;42218;[4.383901999999999,45.45161040041885];12;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;16/06/2019
node/6550615256;node/6550615256;42218;[4.392539599999999,45.434480900420965];10;;AUTRE;LIBRE ACCES;false;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;15/02/2022
node/6648125384;node/6648125384;42218;[4.3972121,45.438761100420436];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;30/04/2021
node/667528824;node/667528824;42218;[4.3906365,45.42743890042182];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/11/2014
node/6728010800;node/6728010800;42242;[4.6180032,45.5558002004057];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;20/08/2019
node/701044313;node/701044313;42218;[4.3930251,45.45136510041889];14;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/701044323;node/701044323;42218;[4.394335699999999,45.45044930041902];32;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;11/10/2021
node/704677175;node/704677175;42218;[4.3936134,45.417282900423054];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;01/11/2015
node/705879805;node/705879805;42218;[4.4088683,45.42284040042237];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;02/06/2021
node/7162512739;node/7162512739;42218;[4.4203723,45.44186560042006];;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/01/2020
node/7206641667;node/7206641667;42218;[4.3820873,45.42949370042157];6;;AUTRE;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;27/06/2020
node/7240995826;node/7240995826;42218;[4.3952354,45.45931680041791];12;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;13/02/2021
node/7241010159;node/7241010159;42218;[4.3898112,45.459065700417945];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7243542547;node/7243542547;42218;[4.384713399999999,45.44846200041925];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/02/2020
node/7243546350;node/7243546350;42218;[4.3844304,45.45126190041892];3;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/02/2020
node/7243546351;node/7243546351;42218;[4.387798,45.450137700419056];;ROUE;RATELIER;PRIVE;true;AUTRE;true;false;OpenStreetMap;25/02/2020
node/7243546352;node/7243546352;42218;[4.3865078,45.449934400419075];;ROUE;RATELIER;PRIVE;true;AUTRE;true;false;OpenStreetMap;25/02/2020
node/7243555218;node/7243555218;42218;[4.388919999999999,45.43697230042068];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/02/2020
node/7243572319;node/7243572319;42218;[4.3858902,45.44350960041988];4;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/10/2021
node/7243572321;node/7243572321;42218;[4.392930999999999,45.439130300420395];2;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;25/02/2020
node/7244157584;node/7244157584;42218;[4.3962726,45.458459100418025];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244177085;node/7244177085;42218;[4.397509099999999,45.457448800418135];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244177086;node/7244177086;42218;[4.394239499999999,45.45494650041845];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244177087;node/7244177087;42218;[4.402308999999999,45.44955090041914];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244177088;node/7244177088;42218;[4.405307199999999,45.44687010041944];16;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244177089;node/7244177089;42218;[4.4011724,45.44551140041961];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;16/08/2021
node/7244270799;node/7244270799;42218;[4.4003428,45.456429300418286];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244297968;node/7244297968;42218;[4.3945212,45.4488445004192];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244990608;node/7244990608;42218;[4.392816999999999,45.417028900423084];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;26/02/2020
node/7244991522;node/7244991522;42218;[4.3854543,45.446974600419445];6;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;26/02/2020
node/7244991523;node/7244991523;42218;[4.3856005,45.44684760041945];5;;AUTRE;PRIVE;true;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;14/09/2021
node/7244991882;node/7244991882;42218;[4.394634399999999,45.45434180041854];10;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;OpenStreetMap;15/09/2020
node/7244991883;node/7244991883;42218;[4.391144700000001,45.45227340041878];8;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;true;false;OpenStreetMap;26/02/2020
node/7244997385;node/7244997385;42218;[4.380027799999999,45.464323200417304];4;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;OpenStreetMap;26/02/2020
