"osm_id","type","name","ref_mhs","religion","religion_denomination","inscription","build_date","description","heritage","com_insee","x","y"
"way/582878627","fountain","L'enfant au masque","","","","","1904","","","42218","4.3890721042207","45.431972338477"
"way/582878628","monument","Monument commémoratif aux combattants de la guerre de 1870","","","","","1898","","","42218","4.3887406582079","45.431713256019"
"way/582879171","memorial","Monument à Louis Comte","","","","Louis COMTE 1857-1926, Fondateur de l’œuvre des enfants à la montagne et à la mer __ Pasteur de l'église réformée de Saint-Étienne __ Pionnier de la ligue de la moralité publique __","","","","42218","4.3877031077963","45.431598177424"
"way/582879608","fountain","","","","","","","","","42218","4.3912768496035","45.432072979993"
"way/582881154","memorial","Monument aux Morts","","","","","1933","","","42218","4.3963443489785","45.439554459453"
"way/582881155","monument","Monument aux combattants d'Afrique du Nord","","","","","","","","42218","4.3960910000003","45.439777150422"
"way/582884442","monument","Statue de la Liberté","","","","","1915","","","42218","4.3917408614197","45.424171433806"
"way/587756844","fountain","","","","","","","","","42218","4.3777346615749","45.437501775464"
"way/63241560","place_of_worship","Église Notre-Dame-de-la-Paix","","christian","catholic","","","","","42218","4.3860571457364","45.409352005451"
"way/63242768","place_of_worship","Chapelle de la Charité","PA00117596","christian","","","","","3","42218","4.3912246528457","45.432983222906"
"way/63245470","place_of_worship","Église du Sacré-Cœur","","christian","catholic","","","","","42218","4.3788240183176","45.464081382925"
"way/63246571","place_of_worship","Église Notre Dame du bon secours","","christian","catholic","","","","","42218","4.3851596326171","45.433298342626"
"way/63246804","place_of_worship","Église Sainte-Marguerite","","christian","catholic","","","","","42218","4.4188922469267","45.434629192192"
"way/63248299","place_of_worship","Salle du Royaume des Témoins de Jéhovah","","christian","jehovahs_witness","","","","","42218","4.3854951369591","45.417856222717"
"way/63250770","lavoir","","","","","","","","","42218","4.4416475597113","45.41178173011"
"way/63254175","place_of_worship","Temple de Saint-Étienne","PA42000038","christian","reformed","","","","3","42218","4.3831126716122","45.43921039628"
"way/63255126","place_of_worship","Église Saint-Roch","","christian","catholic","","","","","42218","4.3934639638144","45.429310809069"
"way/63258434","place_of_worship","Église Notre-Dame-de-Lourdes","","christian","catholic","","","","","42218","4.3816876902045","45.428479592999"
"way/63258574","place_of_worship","Église Notre-Dame de Valbenoite","PA00117599","christian","catholic","","","","3","42218","4.3990296151729","45.421639872012"
"way/63262968","place_of_worship","Église Sainte-Marie","PA00132819","christian","catholic","","","","3","42218","4.3924760015703","45.438656290746"
"way/63263836","place_of_worship","Chapelle de l'Immaculée Conception","","christian","","","","","","42218","4.3799387537743","45.442256700045"
"way/63264674","place_of_worship","Église Sainte-Thérèse","","christian","catholic","","","","","42218","4.4133260839678","45.42152494429"
"way/63265624","place_of_worship","Église Saint-Laurent-Saint-Étienne","PA00117598","christian","","","","","3","42218","4.3859025177607","45.436449984147"
"way/63268402","place_of_worship","Église de la Nativité","","christian","catholic","","","","","42218","4.4455709244687","45.410984376231"
"way/63280034","place_of_worship","Église Sainte-Claire","","christian","catholic","","","","","42218","4.4025001498283","45.472075287932"
"way/63282840","yes","Tour Plein Ciel","","","","","","","","42218","4.4036146286031","45.469680767315"
"way/63291111","place_of_worship","Église Saint-André de Côte Chaude","","christian","catholic","","","","","42218","4.3631249357911","45.444942378429"
"way/63291167","place_of_worship","Église Saint-François","PA42000027","christian","catholic","","","","3","42218","4.4024374382148","45.439616879522"
"way/63297029","place_of_worship","Église de la Nativité","IA42000169","christian","catholic","","","","","42218","4.3885789486162","45.444573507651"
"way/63300316","place_of_worship","Mosquée El-Fattah","","muslim","","","","","","42218","4.375533399543","45.435058678607"
"way/63302684","place_of_worship","Église Notre-Dame","","christian","","","","","","42218","4.39204536941","45.435551219903"
"way/63303094","building","Maison de François Ier","PA00117603","","","","16e siècle","","2","42218","4.3855849537876","45.436092224924"
"way/63303532","place_of_worship","Temple antoiniste","","antoinist","","","","","","42218","4.3765104139265","45.456900838226"
"way/63305240","castle","Château de la Roche","","","","","","","","42218","4.4284804623097","45.419552518644"
"way/63310809","place_of_worship","Saint-Jean Baptiste","","christian","catholic","","","","","42218","4.380785344544","45.447779213419"
"way/63313022","building","Maison Vergnette","","","","","","","","42218","4.3845901418642","45.426728779604"
"way/63313295","manor","","","","","","","","","42218","4.3717753910342","45.446901741926"
"way/63313751","place_of_worship","Église Sainte-Barbe","","christian","catholic","","","","","42218","4.4033647481645","45.450640006682"
"way/63314084","place_of_worship","Chapelle Saint-Bernard","","christian","","","","","","42218","4.3798234045651","45.441226683425"
"way/63319764","lavoir","","","","","","","","","42218","4.4551809901068","45.389665623229"
"way/63322493","place_of_worship","Cathédrale Saint-Charles-Borromée","","christian","catholic","","","","","42218","4.3845728788394","45.44104245598"
"way/63326227","place_of_worship","Grande Mosquée Mohammed VI de Saint-Étienne","","muslim","","","","","","42218","4.3990701097672","45.450620815299"
"way/63330400","place_of_worship","Église Saint-Ennemond","","christian","","","","","","42218","4.3817066489277","45.434885529302"
"way/63333475","place_of_worship","Chapelle Saint-Joseph de Monthieu","","christian","catholic","","","","","42218","4.4151064739949","45.44319880552"
"way/63338404","place_of_worship","Église Notre-Dame de Terrenoire","","christian","","","","","","42218","4.4363901418132","45.434505727456"
"way/63338830","place_of_worship","Église Saint-Louis","","christian","catholic","","","","","42218","4.3889164752514","45.434602095488"
"way/63340812","castle","Château de la Perrotière","","","","","","","","42218","4.444865091026","45.429271947438"
"way/63341036","place_of_worship","Église Saint-Pierre-Saint-Paul","","christian","catholic","","","","","42218","4.4012178599633","45.413136043889"
"way/656607890","fountain","","","","","","","","","42218","4.4112383904546","45.420881214786"
"way/656608114","fountain","","","","","","","","","42218","4.4145134786847","45.420847238451"
"way/656608115","fountain","","","","","","","","","42218","4.4137835057964","45.420765105248"
"way/828503406","fountain","","","","","","","","","42218","4.3913183999955","45.428599200518"
"way/953579809","fountain","","","","","","","","","42218","4.3966704223557","45.420907742329"
"way/964917126","castle","","","","","","","","","42218","4.4462350687225","45.410165067551"
