Nombre de délibération,COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL
24,Saint-etienne metropole (SEM),24420077000117,2022.00118,2022-03-24,,COMMANDE PUBLIQUE,Travaux de dissimulation de réseaux impasse Chatelard commune de Saint-Chamond - Attribution d’un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
25,Saint-etienne metropole (SEM),24420077000117,2022.00118,2022-03-24,,COMMANDE PUBLIQUE,Site Patrimonial Remarquable Saint-Etienne Centre Sud - Nouvel arrêt de projet,2022,,PREF042,2022-03-25,123,88,104,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
26,Saint-etienne metropole (SEM),24420077000117,2022.00121,2022-03-24,,COMMANDE PUBLIQUE,Contrat de Délégation de service public pour la construction et l’exploitation du crématorium de Montmartre - Avenant n°1,2022,,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
27,Saint-etienne metropole (SEM),24420077000117,2022.00122,2022-03-24,,COMMANDE PUBLIQUE,Tarifs Musée d'art moderne et contemporain - Biennale du design 2022,2022,budget de l’exercice en cours,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
28,Saint-etienne metropole (SEM),24420077000117,2022.00122,2022-03-24,,COMMANDE PUBLIQUE,Travaux d’enfouissement de réseaux secs « rue de Cotatay/Pelissière» commune du Chambon-Feugerolles - Attribution d’un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
29,Saint-etienne metropole (SEM),24420077000117,2022.00122,2022-03-24,,COMMANDE PUBLIQUE,Liste des délibérations prises en application des délégations au Bureau : Bureau du 20 janvier 2022 (conformément à la délibération du Conseil Métropolitain du 17 juillet 2020),2022,,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
30,Saint-etienne metropole (SEM),24420077000117,2022.00125,2022-03-24,,COMMANDE PUBLIQUE,Travaux de dissimulation de réseaux rue Loubet commune de Saint-Chamond - Attribution d’un fonds de concours au SIEL,2022,voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
31,Saint-etienne metropole (SEM),24420077000117,2022.00127,2022-03-25,,COMMANDE PUBLIQUE,Traitement des écarts négatifs sur les dépôts d'espèces des régies à la Banque Postale,2022,,PREF042,2022-04-05,123,92,107,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
32,Saint-etienne metropole (SEM),24420077000117,2022.0013,2022-03-24,,,"Travaux d’extension du réseau BTS (basse tension), secteur de l’église sur la commune de L’Etrat - Attribution d’un fonds de concours au SIEL",2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
33,Saint-etienne metropole (SEM),24420077000117,2022.00131,2022-03-24,,,Travaux de dissimulation de réseaux impasse Chatelard commune de Saint-Chamond - Attribution d’un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
34,Saint-etienne metropole (SEM),24420077000117,2022.00131,2022-03-24,,,Site Patrimonial Remarquable Saint-Etienne Centre Sud - Nouvel arrêt de projet,2022,,PREF042,2022-03-25,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
35,Saint-etienne metropole (SEM),24420077000117,2022.00132,2022-03-24,,,Contrat de Délégation de service public pour la construction et l’exploitation du crématorium de Montmartre - Avenant n°1,2022,amenagement,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
36,Saint-etienne metropole (SEM),24420077000117,2022.00133,2022-03-24,,,Tarifs Musée d'art moderne et contemporain - Biennale du design 2022,2022,"budget de l’exercice en cours, à l’article 7062 «redevances à caractère culturel »",PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
37,Saint-etienne metropole (SEM),24420077000117,2022.00133,2022-03-24,,,Travaux d’enfouissement de réseaux secs « rue de Cotatay/Pelissière» commune du Chambon-Feugerolles - Attribution d’un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
38,Saint-etienne metropole (SEM),24420077000117,2022.00134,2022-03-24,,,Liste des délibérations prises en application des délégations au Bureau : Bureau du 20 janvier 2022 (conformément à la délibération du Conseil Métropolitain du 17 juillet 2020,2022,,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
39,Saint-etienne metropole (SEM),24420077000117,2022.00134,2022-03-24,,,Désignations des représentants de Saint-Etienne Métropole dans divers organismes,2022,Désignation des représentants,PREF042,2022-04-04,123,88,104,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
40,Saint-etienne metropole (SEM),24420077000117,2022.00136,2022-03-24,,,Traitement des écarts négatifs sur les dépôts d'espèces des régies à la Banque Postale,2022,Fiscalité,PREF042,2022-04-04,123,92,107,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
41,Saint-etienne metropole (SEM),24420077000117,2022.00136,2022-03-24,,,Taux de la cotisation foncière des entreprises applicable en 2022,2022,Décisions budgétaires,PREF042,2022-04-04,123,92,107,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
42,Saint-etienne metropole (SEM),24420077000117,2022.00137,2022-03-24,,,Travaux de dissimulation de réseaux impasse Marc Seguin commune de Saint-Chamond - Attribution d’un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
43,Saint-etienne metropole (SEM),24420077000117,2022.00139,2022-03-24,,,"Plan d’aménagement du massif forestier de la commune de Firminy, situé autour des barrages des Plats et de l’Echapre, en gestion à Saint-Etienne Métropole",2022,amenagement,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
44,Saint-etienne metropole (SEM),24420077000117,2022.00139,2022-03-24,,,Plan Local d'Urbanisme (PLU) de Dargoire - Modification simplifiée n°1 - Modalités de mise à disposition du public,2022,urbanisme,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
45,Saint-etienne metropole (SEM),24420077000117,2022.0014,2022-03-24,,,Autorisations de programme - Ajustements dans le cadre du budget primitif 2022,2022,,PREF042,2022-04-04,123,90,95,0,9,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
46,Saint-etienne metropole (SEM),24420077000117,2022.00141,2022-03-24,,,Travaux de dissimulation de réseaux rue Jean Mace commune de Saint-Chamond - Attribution d’un fonds de concours au SIEL,2022,voire,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
